OBR4 Code,OBR4 Code System,OBX3 Code,OBX3 Code System,OBX2,Value Set Name
54089-8,LN,50157-7,LN,SN or NM,n/a
54089-8,LN,50157-7,LN,SN or NM,n/a
54089-8,LN,50281-5,LN,SN or NM,n/a
54089-8,LN,53062-6,LN,SN or NM,n/a
54089-8,LN,53150-9,LN,SN or NM,n/a
54089-8,LN,53151-7,LN,SN or NM,n/a
54089-8,LN,53152-5,LN,SN or NM,n/a
54089-8,LN,53153-3,LN,SN or NM,n/a
54089-8,LN,53154-1,LN,SN or NM,n/a
54089-8,LN,53155-8,LN,SN or NM,n/a
54089-8,LN,53156-6,LN,SN or NM,n/a
54089-8,LN,53157-4,LN,SN or NM,n/a
54089-8,LN,53158-2,LN,SN or NM,n/a
54089-8,LN,53159-0,LN,SN or NM,n/a
54089-8,LN,53160-8,LN,SN or NM,n/a
54089-8,LN,53161-6,LN,SN or NM,n/a
54089-8,LN,53162-4,LN,SN or NM,n/a
54089-8,LN,53163-2,LN,SN or NM,n/a
54089-8,LN,53164-0,LN,SN or NM,n/a
54089-8,LN,53165-7,LN,SN or NM,n/a
54089-8,LN,53166-5,LN,SN or NM,n/a
54089-8,LN,53166-5,LN,SN or NM,n/a
54089-8,LN,53167-3,LN,SN or NM,n/a
54089-8,LN,53167-3,LN,SN or NM,n/a
54089-8,LN,53168-1,LN,SN or NM,n/a
54089-8,LN,53168-1,LN,SN or NM,n/a
54089-8,LN,53169-9,LN,SN or NM,n/a
54089-8,LN,53169-9,LN,SN or NM,n/a
54089-8,LN,53170-7,LN,SN or NM,n/a
54089-8,LN,53171-5,LN,SN or NM,n/a
54089-8,LN,53172-3,LN,SN or NM,n/a
54089-8,LN,53173-1,LN,SN or NM,n/a
54089-8,LN,53174-9,LN,SN or NM,n/a
54089-8,LN,53175-6,LN,SN or NM,n/a
54089-8,LN,53176-4,LN,SN or NM,n/a
54089-8,LN,53177-2,LN,SN or NM,n/a
54089-8,LN,53178-0,LN,SN or NM,n/a
54089-8,LN,53178-0,LN,SN or NM,n/a
54089-8,LN,53179-8,LN,SN or NM,n/a
54089-8,LN,53179-8,LN,SN or NM,n/a
54089-8,LN,53180-6,LN,SN or NM,n/a
54089-8,LN,53181-4,LN,SN or NM,n/a
54089-8,LN,53182-2,LN,SN or NM,n/a
54089-8,LN,53183-0,LN,SN or NM,n/a
54089-8,LN,53183-0,LN,SN or NM,n/a
54089-8,LN,53184-8,LN,SN or NM,n/a
54089-8,LN,53184-8,LN,SN or NM,n/a
54089-8,LN,53185-5,LN,SN or NM,n/a
54089-8,LN,53185-5,LN,SN or NM,n/a
54089-8,LN,53186-3,LN,SN or NM,n/a
54089-8,LN,53186-3,LN,SN or NM,n/a
54089-8,LN,53187-1,LN,SN or NM,n/a
54089-8,LN,53188-9,LN,SN or NM,n/a
54089-8,LN,53189-7,LN,SN or NM,n/a
54089-8,LN,53190-5,LN,SN or NM,n/a
54089-8,LN,53191-3,LN,SN or NM,n/a
54089-8,LN,53192-1,LN,SN or NM,n/a
54089-8,LN,53193-9,LN,SN or NM,n/a
54089-8,LN,53194-7,LN,SN or NM,n/a
54089-8,LN,53195-4,LN,SN or NM,n/a
54089-8,LN,53196-2,LN,SN or NM,n/a
54089-8,LN,53197-0,LN,SN or NM,n/a
54089-8,LN,53198-8,LN,SN or NM,n/a
54089-8,LN,53199-6,LN,SN or NM,n/a
54089-8,LN,53200-2,LN,SN or NM,n/a
54089-8,LN,53201-0,LN,SN or NM,n/a
54089-8,LN,53202-8,LN,SN or NM,n/a
54089-8,LN,53231-7,LN,SN or NM,n/a
54089-8,LN,53232-5,LN,SN or NM,n/a
54089-8,LN,53233-3,LN,SN or NM,n/a
54089-8,LN,53234-1,LN,SN or NM,n/a
54089-8,LN,53235-8,LN,SN or NM,n/a
54089-8,LN,53236-6,LN,SN or NM,n/a
54089-8,LN,53237-4,LN,SN or NM,n/a
54089-8,LN,53238-2,LN,SN or NM,n/a
54089-8,LN,53239-0,LN,SN or NM,n/a
54089-8,LN,53240-8,LN,SN or NM,n/a
54089-8,LN,53241-6,LN,SN or NM,n/a
54089-8,LN,53336-4,LN,SN or NM,n/a
54089-8,LN,53338-0,LN,SN or NM,n/a
54089-8,LN,53341-4,LN,SN or NM,n/a
54089-8,LN,53343-0,LN,SN or NM,n/a
54089-8,LN,53345-5,LN,SN or NM,n/a
54089-8,LN,53347-1,LN,SN or NM,n/a
54089-8,LN,53392-7,LN,SN or NM,n/a
54089-8,LN,53393-5,LN,SN or NM,n/a
54089-8,LN,53394-3,LN,SN or NM,n/a
54089-8,LN,53395-0,LN,SN or NM,n/a
54089-8,LN,53396-8,LN,SN or NM,n/a
54089-8,LN,53397-6,LN,SN or NM,n/a
54089-8,LN,53398-4,LN,SN or NM,n/a
54089-8,LN,53399-2,LN,SN or NM,n/a
54089-8,LN,53400-8,LN,SN or NM,n/a
54089-8,LN,53401-6,LN,SN or NM,n/a
54089-8,LN,53402-4,LN,SN or NM,n/a
54089-8,LN,53402-4,LN,SN or NM,n/a
54089-8,LN,53403-2,LN,SN or NM,n/a
54089-8,LN,53403-2,LN,SN or NM,n/a
54089-8,LN,54068-2,LN,SN or NM,n/a
54089-8,LN,54069-0,LN,SN or NM,n/a
54089-8,LN,54070-8,LN,SN or NM,n/a
54089-8,LN,54071-6,LN,SN or NM,n/a
54089-8,LN,54072-4,LN,SN or NM,n/a
54089-8,LN,54073-2,LN,SN or NM,n/a
54089-8,LN,54074-0,LN,SN or NM,n/a
54089-8,LN,54084-9,LN,SN or NM,n/a
54089-8,LN,54092-2,LN,SN or NM,n/a
54089-8,LN,54462-7,LN,SN or NM,n/a
54089-8,LN,54462-7,LN,SN or NM,n/a
54089-8,LN,55827-0,LN,SN or NM,n/a
54089-8,LN,55908-8,LN,SN or NM,n/a
54089-8,LN,55909-6,LN,SN or NM,n/a
54089-8,LN,55917-9,LN,SN or NM,n/a
54089-8,LN,56476-5,LN,SN or NM,n/a
54089-8,LN,57714-8,LN,SN or NM,n/a
54089-8,LN,57715-5,LN,SN or NM,n/a
54089-8,LN,58229-6,LN,SN or NM,n/a
54089-8,LN,62310-8,LN,SN or NM,n/a
54089-8,LN,62316-5,LN,SN or NM,n/a
54089-8,LN,62320-7,LN,SN or NM,n/a
54089-8,LN,67701-3,LN,SN or NM,n/a
54089-8,LN,67708-8,LN,SN or NM,n/a
54089-8,LN,67709-6,LN,SN or NM,n/a
54089-8,LN,67710-4,LN,SN or NM,n/a
54089-8,LN,67711-2,LN,SN or NM,n/a
54089-8,LN,70159-9,LN,SN or NM,n/a
54089-8,LN,73806-2,LN,SN or NM,n/a
54089-8,LN,75211-3,LN,SN or NM,n/a
54089-8,LN,75212-1,LN,SN or NM,n/a
54089-8,LN,75213-9,LN,SN or NM,n/a
54089-8,LN,75213-9,LN,SN or NM,n/a
54089-8,LN,75214-7,LN,SN or NM,n/a
54089-8,LN,75215-4,LN,SN or NM,n/a
54089-8,LN,75216-2,LN,SN or NM,n/a
54089-8,LN,75217-0,LN,SN or NM,n/a
54089-8,LN,79321-6,LN,SN or NM,n/a
54089-8,LN,8339-4,LN,SN or NM,n/a
54089-8,LN,92002-5,LN,SN or NM,n/a
54089-8,LN,92006-6,LN,SN or NM,n/a
54089-8,LN,92007-4,LN,SN or NM,n/a
54089-8,LN,92008-2,LN,SN or NM,n/a
54089-8,LN,93488-5,LN,SN or NM,n/a
54089-8,LN,97654-8,LN,SN or NM,n/a
54089-8,LN,46737-3,LN,ST,LL840-0
54089-8,LN,46746-4,LN,ST,LL840-0
54089-8,LN,53836-3,LN,ST,n/a
54089-8,LN,54079-9,LN,ST,n/a
54089-8,LN,57129-9,LN,ST,n/a
54089-8,LN,57699-1,LN,ST,n/a
54089-8,LN,57701-5,LN,ST,n/a
54089-8,LN,57703-1,LN,ST,n/a
54089-8,LN,57704-9,LN,ST,n/a
54089-8,LN,57705-6,LN,ST,n/a
54089-8,LN,57706-4,LN,ST,n/a
54089-8,LN,57707-2,LN,ST,n/a
54089-8,LN,57708-0,LN,ST,n/a
54089-8,LN,57709-8,LN,ST,n/a
54089-8,LN,57710-6,LN,ST,n/a
54089-8,LN,57711-4,LN,ST,n/a
54089-8,LN,57716-3,LN,ST,n/a
54089-8,LN,57723-9,LN,ST,n/a
54089-8,LN,57724-7,LN,ST,n/a
54089-8,LN,58090-2,LN,ST,n/a
54089-8,LN,58091-0,LN,ST,n/a
54089-8,LN,58093-6,LN,ST,n/a
54089-8,LN,58230-4,LN,ST,n/a
54089-8,LN,58231-2,LN,ST,n/a
54089-8,LN,62303-3,LN,ST,n/a
54089-8,LN,62306-6,LN,ST,n/a
54089-8,LN,62309-0,LN,ST,n/a
54089-8,LN,62313-2,LN,ST,n/a
54089-8,LN,62317-3,LN,ST,n/a
54089-8,LN,62319-9,LN,ST,n/a
54089-8,LN,62322-3,LN,ST,n/a
54089-8,LN,62323-1,LN,ST,n/a
54089-8,LN,62324-9,LN,ST,n/a
54089-8,LN,62325-6,LN,ST,n/a
54089-8,LN,62326-4,LN,ST,n/a
54089-8,LN,62327-2,LN,ST,n/a
54089-8,LN,62328-0,LN,ST,n/a
54089-8,LN,62329-8,LN,ST,n/a
54089-8,LN,62330-6,LN,ST,n/a
54089-8,LN,62331-4,LN,ST,n/a
54089-8,LN,62332-2,LN,ST,n/a
54089-8,LN,63416-2,LN,ST,n/a
54089-8,LN,67703-9,LN,ST,n/a
54089-8,LN,67705-4,LN,ST,n/a
54089-8,LN,67707-0,LN,ST,n/a
54089-8,LN,69969-4,LN,ST,n/a
54089-8,LN,79565-8,LN,ST,n/a
54089-8,LN,85268-1,LN,ST,n/a
54089-8,LN,92003-3,LN,ST,n/a
54089-8,LN,33288-2,LN,ST,QLResults
